match,wc,round,grp,md,played_on,home,away,HG,AG,result_raw,host_h,host_a,source
M-2026-032,2026,fase de grupos,F,1,15/06/2026,Sweden,Tunisia,5,1,5 : 1,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
M-2026-037,2026,GS,,1,06/15/2026,belgium,Egypt,1,1,1 x 1,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
M-2026-038,2026,group stage,Grupo G,1,15-06-26,IR Iran,New Zealand,2,2,2—2,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
M-2026-043,2026,fase de grupos,group-h,1,"Jun 15, 2026",Spain,Cape-Verde,0,s/d,0-0,No,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
M-2026-044,2026,GS,H,1,2026-06-15,Saudi-Arabia,Uruguay,1,1,1–1,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
M-2026-049,2026,group stage,I,1,16/06/2026,France,Senegal,3,1,3 : 1,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
M-2026-050,2026,fase de grupos,Grupo I,1,06/16/2026,Iraq,Norway,1,4,1 x 4,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
M-2026-055,2026,GS,group-j,1,16-06-26,Argentina,Algeria,3,0,3—0,No,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
M-2026-056,2026,group stage,J,1,"Jun 17, 2026",Austria,JORDAN,3,1,3-1,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
M-2026-061,2026,fase de grupos,K,1,2026-06-17,Portugal,Democratic Republic of the Congo,,1,1–1,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
M-2026-062,2026,GS,Grupo K,1,17/06/2026,Uzbekistan,Colombia,1,3,,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
M-2026-067,2026,group stage,group-l,1,06/17/2026,England,Croatia,4,2,4 x 2,No,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
M-2026-003,2026,fase de grupos,A,2,18-06-26,CZECH REPUBLIC,South Africa,1,1,1—1,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
M-2026-004,2026,GS,A,2,"Jun 18, 2026",México,South Korea,1,0,1-0,TRUE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
M-2026-009,2026,group stage,Grupo B,2,2026-06-18,Suisse,Bosnia,4,1,4–1,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
M-2026-010,2026,fase de grupos,group-b,2,18/06/2026,Canada,Qatar,6,0,6 : 0,Sí,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
M-2026-068,2026,GS,L,1,06/18/2026,Ghana,Panama,1,0,1 x 0,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
M-2026-015,2026,group stage,C,2,19-06-26,Scotland,Morocco,0,s/d,0—1,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
M-2026-016,2026,fase de grupos,Grupo C,2,"Jun 19, 2026",Brasil,Haiti,3,0,3-0,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
M-2026-021,2026,GS,group-d,2,2026-06-19,US,Australia,,0,2–0,Sí,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
M-2026-022,2026,group stage,D,2,20/06/2026,Turkey,paraguay,0,1,0 : 1,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
M-2026-027,2026,fase de grupos,E,2,06/20/2026,Germany,Ivory Coast,2,1,2 x 1,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
M-2026-028,2026,GS,Grupo E,2,20-06-26,Ecuador,CURACAO,0,0,0—0,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
M-2026-033,2026,group stage,group-f,2,"Jun 20, 2026",Holland,Sweden,5,1,5-1,No,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
M-2026-034,2026,fase de grupos,F,2,2026-06-20,tunisia,Japan,0,4,0–4,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
M-2026-039,2026,GS,G,2,21/06/2026,Belgium,IR IRAN,0,0,0 : 0,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
M-2026-040,2026,group stage,Grupo G,2,06/21/2026,New Zealand,Egypt,1,3,1 x 3,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
M-2026-045,2026,fase de grupos,group-h,2,21-06-26,Spain,Saudi-Arabia,4,0,4—0,No,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
M-2026-046,2026,GS,H,2,"Jun 21, 2026",Uruguay,Cabo Verde,-1,2,2-2,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
M-2026-051,2026,group stage,I,2,2026-06-22,FRANCE,Iraq,,0,3–0,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
